"","BATTER_UID","AVG","OBP","SLG","VENUE_KEY","OUTS","BALLS","STRIKES","BATS_LEFT","THROWS_LEFT","PITCH_NUMBER","RELEASE_SPEED","PLATE_X","PLATE_Z","INDUCED_VERTICAL_BREAK","HORIZONTAL_BREAK","VERTICAL_APPROACH_ANGLE","HORIZONTAL_APPROACH_ANGLE","Prob of Single","Prob of Double","Prob of Triple","Prob of Home Run"
"31",65,0.27,0.375,0.409,2529,2,0,1,0,0,2,78.1523971557617,0.252247989177704,2.52704000473022,0.880559980869293,9.91043949127197,-8.53108978271484,3.15499973297119,0.196,0.081,0.009,0.066
"32",107,0.261,0.3035,0.411,2797,1,1,1,1,0,3,75.3759994506836,0.49745300412178,3.33706974983215,-14.6741991043091,4.48128986358643,-8.78415966033936,1.78750991821289,0.208,0.07,0.01,0.074
"33",152,0.314,0.353,0.461,4669,1,1,0,0,1,2,93.0112991333008,-0.0596984997391701,1.22890996932983,11.0506000518799,13.2779989242554,-6.95611000061035,-1.0314199924469,0.257,0.08,0.006,0.047
"34",136,0.298666,0.361666,0.491666,2797,1,0,0,1,0,1,80.6156005859375,0.131636992096901,2.74750995635986,4.05983972549438,17.4333992004395,-7.24958992004395,4.2463698387146,0.182,0.084,0.008,0.101
"35",84,0.267,0.3825,0.389,2823,0,0,0,1,0,1,91.3796997070312,-0.256349980831146,1.68698000907898,3.86332988739014,-15.8496990203857,-6.92008972167969,0.837280035018921,0.263,0.085,0.006,0.037
"36",136,0.298666,0.361666,0.491666,2797,0,3,2,1,1,6,90.9208984375,0.290491998195648,2.27843999862671,16.1342010498047,14.3188991546631,-5.34264993667603,0.0363449975848198,0.228,0.078,0.01,0.056
"37",34,0.263,0.379666,0.376666,2852,0,1,2,1,0,6,74.5642013549805,-1.31754004955292,2.59177994728088,-7.58654022216797,19.7126007080078,-8.78573989868164,2.83928990364075,0.19,0.094,0.004,0.066
"38",117,0.2845,0.344,0.4435,4669,0,0,1,0,0,2,81.3746948242188,1.15547001361847,2.44546008110046,-0.602419972419739,11.9300994873047,-7.3690595626831,4.29053974151611,0.226,0.068,0.012,0.05
"39",125,0.2295,0.3255,0.4005,2843,1,3,2,1,1,9,94.0235977172852,0.560540974140167,2.20138001441956,18.1930999755859,11.7985000610352,-6.0415997505188,1.13014996051788,0.219,0.063,0.007,0.055
"40",122,0.245,0.3,0.3745,2772,0,2,1,1,0,4,84.692497253418,-0.397556006908417,3.07533001899719,2.7058699131012,-11.0106000900269,-5.83523988723755,1.01942992210388,0.201,0.088,0.008,0.08
"41",117,0.2845,0.344,0.4435,4669,1,0,0,0,0,1,89.2345962524414,-0.711160957813263,2.88697981834412,7.45384979248047,-9.75379943847656,-5.38977003097534,0.504006028175354,0.203,0.089,0.006,0.077
"42",30,0.2815,0.3255,0.4525,3810,2,0,1,0,1,2,78.6447982788086,0.541355967521667,1.78338992595673,4.38820028305054,7.51981973648071,-8.16361999511719,-1.07647001743317,0.21,0.076,0.011,0.05
"43",51,0.271,0.3205,0.411,2767,2,0,2,0,0,3,88.2734985351562,0.148942992091179,1.24909996986389,4.89334011077881,-17.3991985321045,-8.04202938079834,-0.207262992858887,0.279,0.078,0.009,0.019
"44",66,0.277,0.3475,0.4255,2745,2,2,0,0,0,3,95.0111999511719,-0.221928000450134,2.89125990867615,8.55333995819092,-17.2706985473633,-5.96997022628784,-0.0921280011534691,0.224,0.08,0.008,0.078
"45",137,0.268333,0.370333,0.385666,2542,1,3,2,1,0,10,88.6347961425781,-0.930734038352966,1.95010995864868,13.6299991607666,-9.50436019897461,-6.16084957122803,0.747781038284302,0.192,0.081,0.004,0.062
"46",141,0.2895,0.3435,0.42,4715,2,2,0,0,1,3,79.0955963134766,0.50976699590683,1.95732998847961,-12.1187992095947,-9.97929954528809,-9.93618965148926,-1.69411993026733,0.237,0.072,0.008,0.061
"47",1,0.3025,0.348,0.555,2724,1,0,2,0,1,3,94.2595977783203,0.189695000648499,1.70732009410858,17.8162994384766,6.56837940216064,-5.88765001296997,-0.698217034339905,0.264,0.077,0.01,0.025
"48",41,0.2405,0.3375,0.4175,3789,2,2,2,0,1,5,77.4123992919922,0.432214021682739,1.63806998729706,-0.239120006561279,15.3815994262695,-8.2052001953125,0.720835983753204,0.217,0.076,0.011,0.05
"49",82,0.2365,0.3505,0.429,2541,2,3,2,0,1,6,90.6581039428711,0.354359984397888,3.06526970863342,18.6590995788574,7.1922402381897,-5.21261978149414,-2.28375005722046,0.2,0.074,0.014,0.078
"50",70,0.238666,0.293666,0.389333,5472,0,2,2,0,0,5,83.0960006713867,0.0584299005568027,2.61139988899231,1.60722994804382,4.05689001083374,-6.99660015106201,1.98233985900879,0.223,0.082,0.009,0.052
"51",104,0.2755,0.359,0.467,2772,0,2,2,1,1,5,95.9487915039062,0.443507969379425,2.16901993751526,14.9466991424561,11.7703990936279,-5.67235994338989,-0.848073959350586,0.269,0.072,0.01,0.034
"52",133,0.264,0.3265,0.3625,2542,1,0,1,1,1,2,86.0879974365234,-0.426508992910385,3.33215975761414,8.68340969085693,-2.43272995948792,-5.38844966888428,-2.92763996124268,0.196,0.082,0.009,0.071
"53",141,0.2895,0.3435,0.42,4715,2,2,2,0,0,6,91.6204986572266,-0.0149580994620919,3.00991988182068,18.7273998260498,-8.34905052185059,-4.63419008255005,2.3087899684906,0.192,0.078,0.011,0.069
"54",51,0.271,0.3205,0.411,2844,0,1,0,0,0,2,90.515998840332,0.538818001747131,1.99488997459412,15.3892993927002,-9.6899995803833,-6.0792498588562,2.82045984268188,0.219,0.084,0.009,0.062
"55",30,0.2815,0.3255,0.4525,2541,1,2,2,0,0,5,82.825798034668,0.323938012123108,2.49868988990784,1.24547004699707,5.03851985931396,-7.77739953994751,2.80413007736206,0.225,0.078,0.01,0.051
"56",81,0.261,0.3285,0.3655,5421,0,2,0,1,0,3,86.3533020019531,0.282005995512009,2.98798990249634,9.71347999572754,2.25292992591858,-4.39861011505127,3.11131000518799,0.181,0.08,0.01,0.125
"57",35,0.255,0.324,0.427,2724,0,1,2,0,1,7,94.9039916992188,-0.616931021213531,1.64122986793518,17.7257995605469,6.9256100654602,-5.95780992507935,-1.22339999675751,0.242,0.076,0.004,0.032
"58",97,0.211,0.2905,0.3725,2724,2,0,1,1,1,2,78.4384994506836,0.406991004943848,1.82184994220734,-4.07997989654541,-10.6943998336792,-9.0087194442749,-1.97766983509064,0.233,0.075,0.01,0.038
"59",125,0.2295,0.3255,0.4005,2683,0,1,2,1,1,5,80.064094543457,0.36336299777031,2.81448984146118,8.01265048980713,1.53979003429413,-7.11721992492676,-0.898121953010559,0.195,0.077,0.01,0.056
"60",35,0.255,0.324,0.427,5472,2,1,1,0,0,3,92.4667434692383,-0.0926939994096756,2.46647381782532,12.7080698013306,-12.0914402008057,-6.75058269500732,-0.0618799962103367,0.231,0.082,0.009,0.049
"61",133,0.264,0.3265,0.3625,4715,2,2,1,1,0,4,84.0924987792969,0.0861540958285332,2.3413999080658,4.33093976974487,-15.4621000289917,-6.74845933914185,1.30177998542786,0.206,0.082,0.01,0.067
"62",25,0.264,0.364,0.48,2858,0,2,0,1,1,3,94.7281951904297,0.225397005677223,2.21539998054504,14.5722999572754,14.5059995651245,-5.72457027435303,0.116519995033741,0.233,0.078,0.007,0.074
"63",49,0.269666,0.351,0.413333,2842,0,1,2,1,0,5,80.5224990844727,-1.68468999862671,2.09301996231079,9.88068962097168,-17.2903995513916,-7.66948986053467,-1.54378998279572,0.195,0.118,0.004,0.048
"64",97,0.211,0.2905,0.3725,5472,2,0,2,1,0,4,85.2172012329102,0.570574939250946,2.38088989257812,0.895741999149323,-5.53717994689941,-7.49596977233887,1.91686987876892,0.238,0.066,0.01,0.032
"65",122,0.245,0.3,0.3745,2772,0,0,0,1,1,1,94.4433975219727,-0.0933497995138168,2.01118993759155,15.9412994384766,13.2078990936279,-5.77025985717773,-1.30769002437592,0.24,0.082,0.006,0.052
"66",133,0.264,0.3265,0.3625,2724,1,1,0,1,0,2,96.6174011230469,0.355176001787186,2.72223997116089,17.8796005249023,-6.88091945648193,-5.04201984405518,2.38124990463257,0.219,0.078,0.009,0.072
"67",25,0.264,0.364,0.48,4271,2,1,2,1,1,4,82.4244995117188,-0.142201006412506,1.73804008960724,-3.88864016532898,-7.37081956863403,-8.14128971099854,-3.09004974365234,0.256,0.076,0.009,0.029
"68",35,0.255,0.324,0.427,5472,2,1,1,0,0,3,93.4589996337891,0.097516693174839,3.01902008056641,14.3267002105713,-11.3052997589111,-4.91058969497681,-0.345773011445999,0.214,0.075,0.011,0.062
"69",45,0.277,0.3205,0.4225,4715,0,0,2,0,1,3,86.3000946044922,0.590969979763031,2.38568997383118,3.99150991439819,12.8422994613647,-6.61371946334839,-0.0841899961233139,0.252,0.069,0.01,0.032
"70",57,0.289333,0.325333,0.406,4669,1,3,1,1,0,5,86.0223999023438,0.650581955909729,1.57942998409271,3.34530997276306,3.48562002182007,-7.11078977584839,2.3301899433136,0.238,0.074,0.01,0.056
"71",16,0.28,0.353,0.361,2852,1,0,0,0,0,1,74.7592010498047,-0.305841982364655,2.59062004089355,-8.29745006561279,12.5093994140625,-9.24836921691894,2.07767987251282,0.193,0.088,0.006,0.088
"72",30,0.2815,0.3255,0.4525,3810,0,3,2,0,0,7,85.4490966796875,0.59825199842453,1.85993993282318,0.347130000591278,6.38858938217163,-8.04905986785889,2.96376991271973,0.251,0.071,0.008,0.041
"73",65,0.27,0.375,0.409,3789,2,0,0,0,0,1,80.3156967163086,-0.132930994033813,2.50804996490479,-6.73777961730957,3.04365015029907,-8.43847942352295,2.87700986862183,0.209,0.081,0.007,0.073
"74",74,0.2905,0.3425,0.457,2745,2,2,1,1,0,4,86.695198059082,-0.428615003824234,2.44936990737915,5.26203966140747,-4.60973978042603,-7.31078958511353,1.76800990104675,0.212,0.088,0.008,0.069
"75",98,0.2965,0.384,0.527,4271,1,2,0,1,1,3,94.8004989624023,-0.62407398223877,2.99270987510681,14.9746990203857,9.13243961334228,-5.25250005722046,-0.36090099811554,0.205,0.087,0.006,0.105
"76",107,0.261,0.3035,0.411,2842,2,1,1,1,1,3,93.6679992675781,-0.0580472983419895,1.60731995105743,10.2011995315552,19.554500579834,-6.12839984893799,-1.36049997806549,0.258,0.073,0.008,0.041
"77",81,0.261,0.3285,0.3655,2843,0,0,1,0,1,2,78.9592971801758,-0.028948400169611,1.79117000102997,12.6527996063232,6.54921960830688,-7.94999933242798,-1.40863001346588,0.199,0.096,0.008,0.054
"78",51,0.271,0.3205,0.411,4271,2,3,2,0,0,8,85.241096496582,-0.0369833000004292,1.79743993282318,1.94457006454468,5.14126014709473,-8.29918003082275,2.77169990539551,0.225,0.073,0.007,0.05
"79",136,0.298666,0.361666,0.491666,2823,2,2,1,1,0,4,93.0870971679688,0.357942998409271,1.83434998989105,16.9041996002197,-11.1892995834351,-5.98938989639282,2.50150990486145,0.228,0.081,0.011,0.052
"80",137,0.268333,0.370333,0.385666,2724,1,1,1,1,1,3,91.2755966186523,-0.0556423999369145,2.87669992446899,18.3815994262695,3.37467002868652,-4.36008977890015,-0.612367987632751,0.198,0.081,0.01,0.075
"81",0,0.289,0.330666,0.453,5472,2,1,1,0,0,3,94.3853378295898,-0.943862020969391,2.77407097816467,13.2655801773071,-8.11592197418213,-5.14074993133545,0.0916009992361069,0.218,0.09,0.007,0.061
"82",40,0.281666,0.372333,0.395666,2772,2,1,1,1,0,3,79.2910995483398,0.639430999755859,2.93453001976013,-6.54376935958862,-6.76943016052246,-3.99113988876343,3.100830078125,0.189,0.063,0.016,0.084
"83",142,0.3195,0.3605,0.4435,5472,0,0,0,1,0,1,91.4303894042969,0.173019990324974,2.47011494636536,15.9669589996338,-0.739547967910767,-6.49454164505005,1.39988195896149,0.218,0.086,0.007,0.062
"84",16,0.28,0.353,0.361,2781,2,0,0,0,0,1,90.9297943115234,-0.392484992742539,2.33758997917175,9.16836929321289,-18.8883991241455,-6.49217987060547,-0.325657993555069,0.222,0.086,0.007,0.056
"85",104,0.2755,0.359,0.467,5355,2,0,0,1,0,1,94.2989959716797,-0.653271019458771,2.27495002746582,11.4658994674683,-12.899899482727,-5.71795988082886,1.10881996154785,0.227,0.088,0.006,0.056
"86",142,0.3195,0.3605,0.4435,4271,0,1,2,1,0,5,84.1044998168945,0.477312982082367,1.50475990772247,-0.637759983539581,4.83617973327637,-7.97182989120483,4.23233985900879,0.258,0.073,0.008,0.028
"87",144,0.219,0.294,0.482,2772,1,0,0,0,0,1,80.1760025024414,-0.853173971176147,2.90050005912781,6.42378997802734,4.73572015762329,-6.96800994873047,1.06801998615265,0.17,0.101,0.006,0.11
"88",70,0.238666,0.293666,0.389333,4271,0,1,1,0,0,3,92.3650970458984,-0.40072101354599,3.27328991889954,15.9682998657227,-16.078498840332,-4.93128967285156,-1.67986989021301,0.209,0.088,0.008,0.065
"89",152,0.314,0.353,0.461,2683,0,1,1,0,0,3,79.2148971557617,-0.261238992214203,2.77583003044128,4.85551977157593,9.35620021820068,-6.44229984283447,2.71548008918762,0.182,0.092,0.008,0.089
"90",51,0.271,0.3205,0.411,2767,1,0,0,0,0,1,79.6099014282227,0.346763998270035,3.12521982192993,-10.6673002243042,8.08272933959961,-8.20530033111572,2.36133003234863,0.21,0.072,0.008,0.08
"91",1,0.3025,0.348,0.555,2767,1,1,0,0,1,2,82.3883972167969,0.212019994854927,2.75935006141663,13.5932998657227,10.5152997970581,-5.85974979400635,-0.0265179984271526,0.168,0.084,0.01,0.123
"92",111,0.2695,0.3525,0.3905,5355,0,1,1,1,0,3,78.556999206543,-0.92563396692276,2.39248991012573,0.166940003633499,-10.1906995773315,-7.86689949035645,0.135064989328384,0.201,0.104,0.006,0.064
"93",88,0.268333,0.333333,0.361,2528,2,3,2,1,0,7,82.8626937866211,0.163422986865044,2.68409991264343,4.15017986297607,-15.0382995605469,-6.58788013458252,1.12726998329163,0.196,0.075,0.011,0.069
"94",85,0.238,0.314,0.411,4271,1,2,0,1,1,3,90.4995956420898,0.0461998991668224,2.35752010345459,18.3507995605469,2.5260899066925,-5.90109968185425,-0.971244931221008,0.198,0.086,0.008,0.095
"95",104,0.2755,0.359,0.467,2772,0,0,0,1,0,1,90.5608978271484,-0.322053998708725,2.30796003341675,-1.81346988677978,-17.4247989654541,-5.97071933746338,1.90370988845825,0.252,0.081,0.006,0.045
"96",97,0.211,0.2905,0.3725,2844,1,0,1,1,1,2,77.2775955200195,-0.578247964382172,2.42218995094299,-9.1740198135376,-2.95449018478394,-9.43237972259522,-2.82161998748779,0.227,0.087,0.006,0.046
"97",111,0.2695,0.3525,0.3905,3789,1,1,2,1,0,4,93.1494979858398,1.25989997386932,2.58153986930847,11.1753997802734,-6.6219596862793,-5.06216955184937,3.204509973526,0.251,0.062,0.016,0.034
"98",16,0.28,0.353,0.361,2541,0,1,2,0,1,4,94.4150009155273,-0.469639986753464,3.54063010215759,13.9898996353149,1.99690997600555,-4.67660999298096,-2.51481008529663,0.229,0.08,0.008,0.05
"99",85,0.238,0.314,0.411,4715,0,2,0,1,0,3,90.7280960083008,0.633973002433777,2.4138400554657,15.8279991149902,-11.6564998626709,-5.32112979888916,3.08121991157532,0.205,0.082,0.01,0.084
"100",34,0.263,0.379666,0.376666,2542,1,2,1,1,1,4,92.2476959228516,1.65122997760773,4.26004981994629,15.6035003662109,17.2569999694824,-3.39475989341736,1.47740006446838,0.186,0.055,0.02,0.12
"101",0,0.289,0.330666,0.453,2844,1,3,1,0,0,5,88.986198425293,0.473740011453628,2.07743000984192,5.80191993713379,-10.976900100708,-6.94405031204224,1.5764000415802,0.237,0.077,0.01,0.056
"102",125,0.2295,0.3255,0.4005,2528,0,1,2,1,0,6,84.8484954833984,0.836592018604279,2.94243001937866,3.55734992027283,1.9675999879837,-6.53934955596924,3.2010498046875,0.214,0.063,0.009,0.049
"103",136,0.298666,0.361666,0.491666,2823,0,0,1,1,0,2,86.0690002441406,-0.0775957033038139,2.49496006965637,13.8678998947144,-15.781699180603,-5.70398998260498,0.812049984931946,0.204,0.091,0.009,0.053
"104",66,0.277,0.3475,0.4255,2745,0,0,2,0,0,3,94.7787933349609,0.531826972961426,3.60696983337402,15.6774005889893,-10.516900062561,-3.9549298286438,0.737064003944397,0.23,0.07,0.013,0.041
"105",134,0.273,0.378,0.481,2772,0,0,0,1,0,1,93.4064025878906,0.281488001346588,2.4716899394989,12.7281999588013,-9.84508991241455,-5.06564998626709,2.10591983795166,0.229,0.079,0.008,0.056
"106",21,0.2745,0.3365,0.4425,3810,2,3,2,0,1,6,97.2774047851562,0.466788977384567,3.57058000564575,15.2492990493774,8.89518928527832,-4.22078990936279,-0.848105013370514,0.224,0.064,0.014,0.07
"107",125,0.2295,0.3255,0.4005,2843,1,3,1,1,0,5,90.7682952880859,-0.237884983420372,2.46762990951538,4.24222993850708,-16.5816993713379,-6.41616010665894,-0.361332982778549,0.237,0.082,0.008,0.059
"108",134,0.273,0.378,0.481,3789,1,2,0,1,0,3,96.6803894042969,0.0864033997058868,2.27187991142273,15.0047998428345,-10.0300998687744,-5.1282696723938,1.55862998962402,0.23,0.08,0.008,0.069
"109",25,0.264,0.364,0.48,3970,0,0,2,1,1,3,84.534797668457,-0.0319495983421803,1.54764997959137,1.8717999458313,-4.59980010986328,-8.47914981842041,-1.63136994838715,0.274,0.083,0.007,0.021
"110",137,0.268333,0.370333,0.385666,3810,1,0,0,1,1,1,89.8283996582031,0.387985974550247,1.72286999225616,18.9429397583008,-8.04087352752686,-6.77292966842651,-1.31141006946564,0.22,0.084,0.009,0.052
"111",137,0.268333,0.370333,0.385666,2724,1,0,0,1,1,1,90.2732925415039,0.246309995651245,2.61960005760193,19.5749988555908,7.62123966217041,-5.09237957000732,-0.221500992774963,0.193,0.081,0.009,0.083
"112",0,0.289,0.330666,0.453,2844,2,1,2,0,1,4,89.5075988769531,-0.115398995578289,2.41092991828919,17.5125999450684,8.01910018920898,-5.18126010894775,-1.9629100561142,0.212,0.079,0.011,0.051
"113",142,0.3195,0.3605,0.4435,4271,0,1,1,1,0,3,80.6184005737305,-0.110468000173569,1.77762997150421,0.534089982509613,13.9753999710083,-8.97173976898193,3.30846977233887,0.227,0.091,0.006,0.051
"114",122,0.245,0.3,0.3745,2772,2,1,0,1,1,2,93.2711944580078,-0.857401967048645,2.3686900138855,11.2543992996216,4.06020975112915,-5.63005018234253,-0.956876993179321,0.217,0.088,0.006,0.077
"115",25,0.264,0.364,0.48,2767,1,1,0,1,0,2,94.7426986694336,0.342949002981186,2.8665599822998,18.0767993927002,-7.10547971725464,-4.87698984146118,2.33464002609253,0.206,0.079,0.009,0.082
"116",136,0.298666,0.361666,0.491666,2773,2,0,1,1,0,2,91.6913986206055,0.362937986850739,2.25567984580994,11.1491994857788,-16.32200050354,-6.88914966583252,1.97394001483917,0.24,0.077,0.01,0.038
"117",34,0.263,0.379666,0.376666,2541,1,0,1,1,0,2,93.6336975097656,-0.841887950897217,2.69114995002747,13.5327997207642,-20.5502986907959,-5.20350980758667,-1.77623987197876,0.228,0.091,0.007,0.045
"118",107,0.261,0.3035,0.411,2823,1,2,2,1,1,7,95.1376953125,0.576124966144562,1.91167998313904,12.5216999053955,5.79136991500854,-5.7467999458313,-1.28979992866516,0.257,0.06,0.008,0.034
"119",57,0.289333,0.325333,0.406,2745,2,2,2,1,0,6,92.4921951293945,0.478408992290497,2.49246001243591,15.7252006530762,-12.3039999008179,-5.64091968536377,0.255091995000839,0.223,0.07,0.012,0.046
"120",117,0.2845,0.344,0.4435,2528,0,2,2,0,0,6,96.9733963012695,0.685684978961945,2.08317995071411,14.7568998336792,-13.913498878479,-5.15492963790894,0.625572979450226,0.267,0.067,0.01,0.029
"121",152,0.314,0.353,0.461,2683,0,1,0,0,0,2,92.351692199707,0.603228986263275,3.02313995361328,11.6335000991821,-12.9303998947144,-4.7566499710083,1.42299997806549,0.214,0.074,0.01,0.076
"122",134,0.273,0.378,0.481,2772,0,0,0,1,0,1,91.7830963134766,0.667294979095459,3.20915007591248,14.7638998031616,-10.2877998352051,-5.09468984603882,2.32795000076294,0.205,0.076,0.01,0.074
"123",35,0.255,0.324,0.427,5472,2,0,1,0,0,2,77.9785003662109,-0.0856979936361313,1.90469205379486,-12.1652889251709,11.9941692352295,-10.5478296279907,2.9790780544281,0.243,0.08,0.006,0.041
"124",137,0.268333,0.370333,0.385666,3810,2,1,0,1,0,2,93.3223037719727,-0.229041993618011,1.78238999843597,11.0021104812622,11.2220401763916,-6.24653005599976,0.949919998645782,0.234,0.081,0.007,0.062
"125",45,0.277,0.3205,0.4225,4715,2,0,1,0,0,2,85.0698013305664,-0.527818024158478,1.81402003765106,7.75627994537354,-12.8737001419067,-6.63595962524414,0.317391991615295,0.217,0.091,0.008,0.045
